Year,Aircraft_type,Count,All_aboard,Total_fatalities,Passenger_fatalities,Crew_fatalities,Ground
1908,Wright Flyer III,1,2,1,1,0,0
1909,Wright Byplane,1,1,1,0,0,0
1912,Dirigible,1,5,5,0,5,0
1913,Curtiss seaplane,1,1,1,0,1,0
1918,De Havilland DH-4,1,20,14,0,0,0
1919,De Havilland DH-4,4,19,19,0,0,0
1919,Caproni Ca.48,1,28,28,0,0,0
1919,Curtiss R-4LM,1,41,17,0,17,0
1919,De Havilland DH.4,1,20,20,0,0,0
1919,de Havilland DH-4,1,22,22,0,0,0
1920,De Havilland DH-4,8,23,23,0,0,0
1920,Curtiss JN-4H,1,20,20,0,0,0
1920,Armstrong-Whitworth F-K-8,1,19,19,0,19,0
1920,Breguet 14,2,28,27,0,0,0
1920,Curtiss R-4LM,1,20,20,0,0,0
1920,Junkers JL-6,1,16,14,0,0,0
1920,Handley Page HP-16,1,24,24,0,0,0
1920,Farman F-40,1,21,21,0,0,0
1920,Salmson 2-A-2,1,18,18,0,0,0
1921,Bristol 28 Tourer,1,22,22,0,0,0
1921,Potez IX,1,1,1,0,1,0
1921,Breguet 14,1,23,23,0,0,0
1921,Avro 504,1,18,18,0,0,0
1921,De Havilland DH-4,4,19,19,0,0,0
1921,Junkers F-13,1,1,1,0,1,0
1921,"De Havilland DH-4De Havilland DH-4",1,1,1,0,1,0
1922,De Havilland DH-4,1,1,1,0,1,0
1922,Potez 29,1,1,1,1,1,0
1922,Bleriot Spad 27,1,14,14,12,2,0
1922,Aeromarine Model 85 (flying boat),1,0,3,2,1,10
1922,Handley Page O/10,1,0,0,0,0,0
1922,LVG C VI,1,1,1,0,1,0
1922,de Havilland DH-18 / Farman F-60 Goliath,1,1,1,0,1,0
1922,Breguet 14,3,1,1,0,1,0
1922,de Havilland DH-9,1,1,1,0,1,0
1923,De Havilland DH-4,5,2,1,1,0,0
1923,Farman F.60 Goliath,1,1,1,1,1,0
1923,Breguet 14,1,2,1,0,1,0
1923,Farman F-60 Goliath,1,1,1,0,1,0
1923,Junkers F-13,1,1,1,0,1,0
1923,Lioré-et-Olivier H-13,1,1,1,0,1,0
1923,de Havilland DH-34,1,2,2,0,2,0
1923,Blériot Spad 46,1,2,1,0,1,0
