Year,Count,All_aboard,Total_fatalities,Passenger_fatalities,Crew_fatalities,Ground,Porcentaje_fallecidos,P_fatalCrew,P_fatalPassa,Evolve_deads,Fact_deads,Evolve_demeans,Dead_drea
1908,1,2,1,1,0,0,50.0,0.0,50.0,,1.0,,
1909,1,1,1,0,0,0,100.0,0.0,0.0,0.0,1.0,0.0,0.95
1912,1,5,5,0,5,0,100.0,100.0,0.0,400.0,5.0,400.0,0.95
1913,1,1,1,0,1,0,100.0,100.0,0.0,-80.0,1.0,-80.0,4.75
1918,1,20,14,0,0,0,70.0,0.0,0.0,1300.0,14.0,1300.0,0.95
1919,8,130,106,0,17,0,81.53846153846153,13.076923076923078,0.0,657.1428571428571,13.25,-5.35714285714286,13.299999999999999
1920,17,189,186,0,19,0,98.4126984126984,10.052910052910052,0.0,75.47169811320755,10.941176470588236,-17.42508324084351,100.69999999999999
1921,10,85,85,0,3,0,100.0,3.5294117647058822,0.0,-54.3010752688172,8.5,-22.311827956989248,176.7
1922,11,20,23,15,9,10,114.99999999999999,45.0,75.0,-72.94117647058825,2.090909090909091,-75.40106951871658,80.75
1923,12,12,9,2,8,0,75.0,66.66666666666666,16.666666666666664,-60.86956521739131,0.75,-64.13043478260869,21.849999999999998
1924,7,8,8,2,4,0,100.0,50.0,25.0,-11.111111111111116,1.1428571428571428,52.38095238095237,8.549999999999999
1925,8,16,12,2,10,0,75.0,62.5,12.5,50.0,1.5,31.25,7.6
1926,13,69,63,8,51,6,91.30434782608695,73.91304347826086,11.594202898550725,425.0,4.846153846153846,223.07692307692304,11.399999999999999
1927,20,103,89,24,31,0,86.40776699029125,30.097087378640776,23.300970873786408,41.26984126984128,4.45,-8.174603174603167,59.849999999999994
1928,36,165,124,29,43,0,75.15151515151514,26.060606060606062,17.575757575757574,39.32584269662922,3.4444444444444446,-22.596754057428214,84.55
1929,39,138,94,49,45,0,68.11594202898551,32.608695652173914,35.507246376811594,-24.193548387096776,2.41025641025641,-30.024813895781644,117.8
1930,23,78,62,38,24,0,79.48717948717949,30.76923076923077,48.717948717948715,-34.04255319148937,2.6956521739130435,11.840888066604993,89.3
1931,33,110,92,61,39,0,83.63636363636363,35.45454545454545,55.45454545454545,48.38709677419355,2.787878787878788,3.421309872922773,58.9
1932,28,99,79,45,34,0,79.7979797979798,34.34343434343434,45.45454545454545,-14.130434782608692,2.8214285714285716,1.2034161490683148,87.39999999999999
1933,24,114,79,52,27,0,69.2982456140351,23.684210526315788,45.614035087719294,0.0,3.2916666666666665,16.66666666666665,75.05
1934,27,152,121,36,37,0,79.60526315789474,24.342105263157894,23.684210526315788,53.16455696202531,4.481481481481482,36.14627285513363,75.05
1935,38,131,112,57,55,0,85.49618320610686,41.98473282442748,43.51145038167939,-7.438016528925617,2.9473684210526314,-34.232274902131365,114.94999999999999
